bess_storage,height,net_production,utilised_production,coverage_pct,gross_production,net_p_ratio,average_hws,capacity_pct,years,utilised_production_per_year,net_production_per_year
0,100,74.61924128131834,74.61924128131834,0.015122252205195839,81.15333223319432,0.015122252205195839,4.186222415367343,1.8902815256494796e-07,5.6290212183436,13.256166283074672,13.256166283074672
40000,100,74.60055195155239,74.60055195155239,0.015118464646472195,81.15333223319432,0.015118464646472195,4.186222415367343,1.8898080808090243e-07,5.6290212183436,13.252846109097526,13.252846109097526
80000,100,74.6369855539001,74.6369855539001,0.015125848239684684,81.15333223319432,0.015125848239684684,4.186222415367343,1.8907310299605854e-07,5.6290212183436,13.259318566907595,13.259318566907595
120000,100,74.61965073367013,74.61965073367013,0.015122335184352735,81.15333223319432,0.015122335184352735,4.186222415367343,1.8902918980440918e-07,5.6290212183436,13.256239022603607,13.256239022603607
160000,100,74.60136096360881,74.60136096360881,0.015118628599953148,81.15333223319432,0.015118628599953148,4.186222415367343,1.8898285749941433e-07,5.6290212183436,13.25298983071893,13.25298983071893
200000,100,74.6425270472031,74.6425270472031,0.015126971272536299,81.15333223319432,0.015126971272536299,4.186222415367343,1.890871409067037e-07,5.6290212183436,13.260303017505318,13.260303017505318
240000,100,74.6174596340302,74.6174596340302,0.015121891138543734,81.15333223319432,0.015121891138543734,4.186222415367343,1.8902363923179665e-07,5.6290212183436,13.255849772047437,13.255849772047437
280000,100,74.60752472472966,74.60752472472966,0.015119877740906628,81.15333223319432,0.015119877740906628,4.186222415367343,1.8899847176133282e-07,5.6290212183436,13.25408482767875,13.25408482767875
320000,100,74.6257292595382,74.6257292595382,0.015123567051624962,81.15333223319432,0.015123567051624962,4.186222415367343,1.89044588145312e-07,5.6290212183436,13.257318877454441,13.257318877454441
360000,100,74.60455219459571,74.60455219459571,0.015119275331265345,81.15333223319432,0.015119275331265345,4.186222415367343,1.889909416408168e-07,5.6290212183436,13.253556755387201,13.253556755387201
400000,100,74.60278654267064,74.60278654267064,0.01511891750621568,81.15333223319432,0.01511891750621568,4.186222415367343,1.8898646882769598e-07,5.6290212183436,13.253243085948665,13.253243085948665
