bess_storage,height,net_production,utilised_production,coverage_pct,gross_production,net_p_ratio,average_hws,capacity_pct,years,utilised_production_per_year,net_production_per_year
0,100,99.23153974416596,99.23153974416596,0.02011015315826969,107.91185826564745,0.02011015315826969,5.793297551841247,2.8728790226099556e-07,5.6290212183436,17.62856025853921,17.62856025853921
40000,100,99.22069933463598,99.22069933463598,0.020107956252966113,107.91185826564745,0.020107956252966113,5.793297551841247,2.8725651789951586e-07,5.6290212183436,17.626634451350096,17.626634451350096
80000,100,99.23146027394266,99.23146027394266,0.02011013705292288,107.91185826564745,0.02011013705292288,5.793297551841247,2.872876721846126e-07,5.6290212183436,17.6285461405922,17.6285461405922
120000,100,99.20462253956165,99.20462253956165,0.02010469814760896,107.91185826564745,0.02010469814760896,5.793297551841247,2.872099735372709e-07,5.6290212183436,17.623778396194016,17.623778396194016
160000,100,99.22378574871811,99.22378574871811,0.020108581742201304,107.91185826564745,0.020108581742201304,5.793297551841247,2.8726545346001864e-07,5.6290212183436,17.627182755213664,17.627182755213664
200000,100,99.23443902351885,99.23443902351885,0.020110740722989393,107.91185826564745,0.020110740722989393,5.793297551841247,2.8729629604270554e-07,5.6290212183436,17.6290753177725,17.6290753177725
240000,100,99.21703943304935,99.21703943304935,0.020107214541392946,107.91185826564745,0.020107214541392946,5.793297551841247,2.872459220198992e-07,5.6290212183436,17.625984266985057,17.625984266985057
280000,100,99.21482974930326,99.21482974930326,0.02010676672934972,107.91185826564745,0.02010676672934972,5.793297551841247,2.87239524704996e-07,5.6290212183436,17.625591714947966,17.625591714947966
320000,100,99.23569048543979,99.23569048543979,0.020110994342866367,107.91185826564745,0.020110994342866367,5.793297551841247,2.872999191838052e-07,5.6290212183436,17.629297640956658,17.629297640956658
360000,100,99.24399783392623,99.24399783392623,0.020112677900844325,107.91185826564745,0.020112677900844325,5.793297551841247,2.8732397001206176e-07,5.6290212183436,17.630773447880134,17.630773447880134
400000,100,99.2159500887262,99.2159500887262,0.02010699377608751,107.91185826564745,0.02010699377608751,5.793297551841247,2.8724276822982154e-07,5.6290212183436,17.625790744118312,17.625790744118312
