bess_storage,height,net_production,utilised_production,coverage_pct,gross_production,net_p_ratio,average_hws,capacity_pct,years,utilised_production_per_year,net_production_per_year
0,100,137.00720519555776,137.00720519555776,0.027765727382368224,148.99108052281562,0.027765727382368224,5.793297551841247,3.4707159227960277e-07,5.6290212183436,24.339436623383985,24.339436623383985
40000,100,136.97948720178988,136.97948720178988,0.027760110084668832,148.99108052281562,0.027760110084668832,5.793297551841247,3.470013760583604e-07,5.6290212183436,24.3345125002207,24.3345125002207
80000,100,136.9659113080049,136.9659113080049,0.02775735880917739,148.99108052281562,0.02775735880917739,5.793297551841247,3.4696698511471734e-07,5.6290212183436,24.3321007321249,24.3321007321249
120000,100,137.01815947614222,137.01815947614222,0.027767947364652688,148.99108052281562,0.027767947364652688,5.793297551841247,3.470993420581586e-07,5.6290212183436,24.341382659854546,24.341382659854546
160000,100,136.9879893337063,136.9879893337063,0.027761833117239447,148.99108052281562,0.027761833117239447,5.793297551841247,3.47022913965493e-07,5.6290212183436,24.336022910572098,24.336022910572098
200000,100,137.01117953436406,137.01117953436406,0.027766532817437597,148.99108052281562,0.027766532817437597,5.793297551841247,3.470816602179699e-07,5.6290212183436,24.340142667765797,24.340142667765797
240000,100,137.01838323457358,137.01838323457358,0.0277679927112868,148.99108052281562,0.0277679927112868,5.793297551841247,3.47099908891085e-07,5.6290212183436,24.34142241071401,24.34142241071401
280000,100,137.02680077004098,137.02680077004098,0.027769698599635413,148.99108052281562,0.027769698599635413,5.793297551841247,3.4712123249544267e-07,5.6290212183436,24.342917792440403,24.342917792440403
320000,100,137.0041186082928,137.0041186082928,0.027765101858035993,148.99108052281562,0.027765101858035993,5.793297551841247,3.470637732254499e-07,5.6290212183436,24.33888828875435,24.33888828875435
360000,100,137.04953713590058,137.04953713590058,0.027774306326179592,148.99108052281562,0.027774306326179592,5.793297551841247,3.471788290772449e-07,5.6290212183436,24.34695692552903,24.34695692552903
400000,100,136.98687590273803,136.98687590273803,0.027761607470561375,148.99108052281562,0.027761607470561375,5.793297551841247,3.4702009338201717e-07,5.6290212183436,24.3358251086941,24.3358251086941
