bess_storage,height,net_production,utilised_production,coverage_pct,gross_production,net_p_ratio,average_hws,capacity_pct,years,utilised_production_per_year,net_production_per_year
0,100,83.85401790908796,83.85401790908796,0.016993761735791174,91.18699108393716,0.016993761735791174,5.793297551841247,1.7888170248201233e-07,5.6290212183436,14.896731537594542,14.896731537594542
40000,100,83.85307318544949,83.85307318544949,0.016993570279152378,91.18699108393716,0.016993570279152378,5.793297551841247,1.788796871489724e-07,5.6290212183436,14.896563706704974,14.896563706704974
80000,100,83.86000565141855,83.86000565141855,0.016994975204972954,91.18699108393716,0.016994975204972954,5.793297551841247,1.7889447584182056e-07,5.6290212183436,14.897795264679292,14.897795264679292
120000,100,83.83318601312313,83.83318601312313,0.016989539966991554,91.18699108393716,0.016989539966991554,5.793297551841247,1.7883726281043742e-07,5.6290212183436,14.893030735064798,14.893030735064798
160000,100,83.84357902219332,83.84357902219332,0.016991646202617002,91.18699108393716,0.016991646202617002,5.793297551841247,1.788594337117579e-07,5.6290212183436,14.894877061214062,14.894877061214062
200000,100,83.8645856612368,83.8645856612368,0.016995903384654024,91.18699108393716,0.016995903384654024,5.793297551841247,1.7890424615425284e-07,5.6290212183436,14.898608906987716,14.898608906987716
240000,100,83.85728810727217,83.85728810727217,0.01699442447050749,91.18699108393716,0.01699442447050749,5.793297551841247,1.7888867863692098e-07,5.6290212183436,14.897312490846868,14.897312490846868
280000,100,83.86807851826109,83.86807851826109,0.01699661124316251,91.18699108393716,0.01699661124316251,5.793297551841247,1.7891169729644747e-07,5.6290212183436,14.899229415756256,14.899229415756256
320000,100,83.86254241202384,83.86254241202384,0.016995489302047636,91.18699108393716,0.016995489302047636,5.793297551841247,1.788998873899751e-07,5.6290212183436,14.898245922174956,14.898245922174956
360000,100,83.85402557793486,83.85402557793486,0.01699376328995113,91.18699108393716,0.01699376328995113,5.793297551841247,1.7888171884159085e-07,5.6290212183436,14.896732899971163,14.896732899971163
400000,100,83.83569675933336,83.83569675933336,0.01699004879201795,91.18699108393716,0.01699004879201795,5.793297551841247,1.788426188633468e-07,5.6290212183436,14.893476771082934,14.893476771082934
