bess_storage,height,net_production,utilised_production,coverage_pct,gross_production,net_p_ratio,average_hws,capacity_pct,years,utilised_production_per_year,net_production_per_year
0,100,337.02118531376385,336.58020117506055,0.19075205027957878,366.5129444958585,0.19100197177913447,5.56901069968788,1.6862458287490537e-07,24.0,14.024175048960856,14.042549388073494
40000,100,337.023684959772,337.0227871858617,0.1910028796174027,366.5129444958585,0.19100338841801986,5.56901069968788,1.6862583354336133e-07,24.0,14.042616132744238,14.042653539990502
80000,100,337.0519221051179,337.0510257614572,0.1910188834291926,366.5129444958585,0.1910193914192361,5.56901069968788,1.686399616666456e-07,24.0,14.043792740060717,14.043830087713246
120000,100,337.053355986084,337.0524363156773,0.19101968284076992,366.5129444958585,0.19102020405091552,5.56901069968788,1.6864067909210828e-07,24.0,14.043851513153221,14.0438898327535
160000,100,336.9994014197221,336.9985272622023,0.190989130650109,366.5129444958585,0.19098962606647216,5.56901069968788,1.6861368355994759e-07,24.0,14.041605302591762,14.041641725821755
200000,100,336.9690772033943,336.96818231623485,0.19097193308281685,366.5129444958585,0.19097244024740895,5.56901069968788,1.6859851119526514e-07,24.0,14.040340929843119,14.040378216808096
240000,100,336.969129418103,336.96821564613606,0.19097195197206515,366.5129444958585,0.1909724698393538,5.56901069968788,1.6859853732028002e-07,24.0,14.040342318589003,14.040380392420959
280000,100,337.01931697925033,337.01842039680463,0.19100040480170388,366.5129444958585,0.19100091292707538,5.56901069968788,1.6862364807572436e-07,24.0,14.042434183200193,14.042471540802097
320000,100,336.9737167738036,336.9728296251325,0.1909745668791525,366.5129444958585,0.19097506965806618,5.56901069968788,1.686008325497054e-07,24.0,14.040534567713854,14.040571532241815
360000,100,336.9759376921543,336.97505286704217,0.1909758268699394,366.5129444958585,0.19097632833200903,5.56901069968788,1.6860194376005894e-07,24.0,14.040627202793424,14.040664070506429
400000,100,337.000103862496,336.99920480981325,0.19098951464059777,366.5129444958585,0.19099002416594105,5.56901069968788,1.686140350189208e-07,24.0,14.04163353374222,14.041670994270667
