bess_storage,height,net_production,utilised_production,coverage_pct,gross_production,net_p_ratio,average_hws,capacity_pct,years,utilised_production_per_year,net_production_per_year
0,100,366.6711453377923,366.6711453377923,0.20780566565520212,398.77512650047885,0.20780566565520212,5.56901069968788,2.7885857885602883e-07,24.0,15.27796438907468,15.27796438907468
40000,100,366.64188647300955,366.64188647300955,0.2077890836090013,398.77512650047885,0.2077890836090013,5.56901069968788,2.7883632707659104e-07,24.0,15.276745269708732,15.276745269708732
80000,100,366.7094236522364,366.7094236522364,0.20782735934644114,398.77512650047885,0.20782735934644114,5.56901069968788,2.788876900541763e-07,24.0,15.279559318843184,15.279559318843184
120000,100,366.6668492227423,366.6668492227423,0.2078032308929934,398.77512650047885,0.2078032308929934,5.56901069968788,2.7885531159992573e-07,24.0,15.27778538428093,15.27778538428093
160000,100,366.6384693821764,366.6384693821764,0.20778714702128717,398.77512650047885,0.20778714702128717,5.56901069968788,2.788337283308057e-07,24.0,15.276602890924018,15.276602890924018
200000,100,366.6646313937111,366.6646313937111,0.20780197396987848,398.77512650047885,0.20780197396987848,5.56901069968788,2.7885362490965934e-07,24.0,15.277692974737962,15.277692974737962
240000,100,366.6893521589014,366.6893521589014,0.20781598411256683,398.77512650047885,0.20781598411256683,5.56901069968788,2.788724254003357e-07,24.0,15.278723006620892,15.278723006620892
280000,100,366.6776056467396,366.6776056467396,0.2078093269435751,398.77512650047885,0.2078093269435751,5.56901069968788,2.7886349201212227e-07,24.0,15.27823356861415,15.27823356861415
320000,100,366.6908859607776,366.6908859607776,0.2078168533730034,398.77512650047885,0.2078168533730034,5.56901069968788,2.788735918783007e-07,24.0,15.2787869150324,15.2787869150324
360000,100,366.6862052689343,366.6862052689343,0.20781420065735726,398.77512650047885,0.20781420065735726,5.56901069968788,2.788700321461209e-07,24.0,15.278591886205596,15.278591886205596
400000,100,366.68536755894064,366.68536755894064,0.20781372589711208,398.77512650047885,0.20781372589711208,5.56901069968788,2.7886939505585265e-07,24.0,15.278556981622527,15.278556981622527
