bess_storage,height,net_production,utilised_production,coverage_pct,gross_production,net_p_ratio,average_hws,capacity_pct,years,utilised_production_per_year,net_production_per_year
0,100,394.3542597521507,394.3542597521507,0.22349467770709194,428.8660837652769,0.22349467770709194,5.56901069968788,2.6777855170419716e-07,24.0,16.431427489672945,16.431427489672945
40000,100,394.2832372157806,394.2832372157806,0.22345442669297597,428.8660837652769,0.22345442669297597,5.56901069968788,2.6773032523914137e-07,24.0,16.42846821732419,16.42846821732419
80000,100,394.36340431209334,394.36340431209334,0.22349986025660576,428.8660837652769,0.22349986025660576,5.56901069968788,2.6778476113887893e-07,24.0,16.43180851300389,16.43180851300389
120000,100,394.2762715107709,394.2762715107709,0.2234504789785602,428.8660837652769,0.2234504789785602,5.56901069968788,2.6772559531331207e-07,24.0,16.428177979615455,16.428177979615455
160000,100,394.29471025063805,394.29471025063805,0.22346092887258828,428.8660837652769,0.22346092887258828,5.56901069968788,2.677381157791997e-07,24.0,16.42894626044325,16.42894626044325
200000,100,394.3342906833952,394.3342906833952,0.22348336052089385,428.8660837652769,0.22348336052089385,5.56901069968788,2.6776499209839094e-07,24.0,16.430595445141467,16.430595445141467
240000,100,394.3241257376145,394.3241257376145,0.22347759968219366,428.8660837652769,0.22347759968219366,5.56901069968788,2.6775808979065117e-07,24.0,16.43017190573394,16.43017190573394
280000,100,394.3509236286287,394.3509236286287,0.22349278700645184,428.8660837652769,0.22349278700645184,5.56901069968788,2.6777628637473024e-07,24.0,16.431288484526196,16.431288484526196
320000,100,394.3072380829543,394.3072380829543,0.22346802884368444,428.8660837652769,0.22346802884368444,5.56901069968788,2.6774662255885447e-07,24.0,16.42946825345643,16.42946825345643
360000,100,394.3386663842209,394.3386663842209,0.223485840387211,428.8660837652769,0.223485840387211,5.56901069968788,2.6776796333250553e-07,24.0,16.430777766009204,16.430777766009204
400000,100,394.32754108426025,394.32754108426025,0.22347953528141434,428.8660837652769,0.22347953528141434,5.56901069968788,2.6776040891503175e-07,24.0,16.430314211844177,16.430314211844177
