bess_storage,height,net_production,utilised_production,coverage_pct,gross_production,net_p_ratio,average_hws,years,utilised_production_per_year,net_production_per_year
0,80,650.3985580362797,567.5899779223582,0.36763890993265314,707.4436927387842,0.4212756147906049,5.419005744798715,20.999315537303218,27.02897515464685,30.97236940322701
0,85,659.0662934932437,573.4951456708043,0.3714638002909271,716.770479150306,0.42688987321470057,5.45195804730671,20.999315537303218,27.31018278438869,31.385132164068743
0,90,667.2475198670703,579.0658098738512,0.37507202629009934,725.596377392336,0.4321890103788125,5.483209804696355,20.999315537303218,27.575461154683722,31.774727070592885
0,95,674.8696762058389,584.2884452846869,0.3784548273685178,733.9739322735969,0.43712602716332044,5.512936285469953,20.999315537303218,27.824166185167126,32.137698726751324
0,100,682.26155767146,589.2616653149779,0.3816760773234308,741.944824101945,0.4419138904979053,5.541286598743149,20.999315537303218,28.060993905644807,32.4897045553456
0,105,689.3125815951952,594.0038930190493,0.3847477091203117,749.54765878294,0.4464809738680519,5.568388689037843,20.999315537303218,28.286821633012746,32.82547854336963
0,110,695.9351300622176,598.506375169074,0.3876640531256893,756.8159275356323,0.45077052547060914,5.5943531885464655,20.999315537303218,28.50123253331216,33.14084827317144
0,115,702.2737850953398,602.7870159836809,0.3904367062452104,763.7776824281547,0.4548761938535258,5.619276427569705,20.999315537303218,28.705079216172027,33.442698827388895
0,120,708.420578773276,606.8601391957789,0.3930749462352793,770.4558936793458,0.45885758995852627,5.643242815211888,20.999315537303218,28.899043786343967,33.735412828805615
0,125,714.3319949045763,610.8266578502472,0.39564413640966206,776.8737690896902,0.4626865275141623,5.666326742480867,20.999315537303218,29.087931783546647,34.016918010286375
0,130,720.0490113628067,614.5865765901405,0.3980795078586604,783.0506798067153,0.4663895486747269,5.688594118635218,20.999315537303218,29.266981368911186,34.289165762746435
0,135,725.4553054291649,618.2388686888216,0.400445167468842,789.0046892139686,0.46989130898523607,5.710103622671368,20.999315537303218,29.440905709073284,34.546616728553126
0,140,730.804471634297,621.7310370890721,0.4027071118898285,794.7507412253723,0.4733560664848344,5.730907731235372,20.999315537303218,29.607204862683645,34.80134723134641
0,145,735.9332029929742,625.0930157539278,0.4048847299233405,800.3017799972255,0.4766780441084411,5.751053569365377,20.999315537303218,29.76730430301462,35.04558049454808
0,150,740.8032346787253,628.3392394198136,0.4069873712248877,805.6722519810563,0.47983245699437815,5.770583619587713,20.999315537303218,29.921891420871823,35.27749432417267
0,155,745.694878332901,631.5160274266832,0.40904503771894346,810.8718556909014,0.48300086836658557,5.7895363168329235,20.999315537303218,30.073171971003394,35.51043732869518
0,160,750.2779473367747,634.5454285136575,0.41100723887943746,815.9108849998739,0.4859694100221268,5.807946550606982,20.999315537303218,30.217433867615828,35.72868582330599
